business_id,name,latitude,longitude
17723,Sushi Suki Restaurant,37.7389,-122.458
34708,Piqueos LLC,37.7389,-122.414
63487,Pay Little Market,37.7389,-122.415
580,TACO LOS ALTOS,37.739,-122.415
2298,MCCARTHY'S PORTALS,37.739,-122.468
2659,HUNAN CHEF,37.739,-122.416
19170,Vino Rosso,37.739,-122.416
39031,Moki's Sushi and Pacific Grill,37.739,-122.416
68842,All Good Pizza,37.739,-122.39
217,PROGRESSIVE GROUNDS,37.7391,-122.418
239,Just Wonton,37.7391,-122.48
4173,WILD SIDE WEST,37.7391,-122.417
4797,"Good Life Grocery, The",37.7391,-122.417
9358,Edgewood Children's Center,37.7391,-122.485
67154,RIVERSIDE SEAFOOD RESTAURANT,37.7391,-122.48
69466,Liberty Cafe,37.7391,-122.417
95,Vega,37.7392,-122.417
5243,CHRISTOPHER'S CATERING,37.7392,-122.39
36889,Discount Club,37.7392,-122.417
65906,Anda Piroshki,37.7392,-122.418
66402,Lucky Horseshoe Bar LLC,37.7392,-122.417
69259,Goat Hill Pizza,37.7392,-122.468
70838,Trattoria Da Vittorio,37.7392,-122.468
33619,Ritual Coffee Roasters,37.7393,-122.39
60042,Fresh & Natural 75 LLC,37.7393,-122.382
1700,Raintree Cafe,37.7394,-122.467
2136,STARBUCKS COFFEE CO.,37.7395,-122.467
70058,Juice Shop,37.7395,-122.404
6798,A.M.S. MARKET,37.7396,-122.407
27055,Chenery Market,37.7397,-122.426
68616,Sweet Lauren Cakes LLC,37.7398,-122.409
69575,Thomas John Events,37.7398,-122.409
70313,SF Living Greens,37.7398,-122.409
4667,EMPIRE THEATRE,37.7399,-122.467
208,CONSTANS GROCERY,37.74,-122.389
62784,Mission Shell,37.74,-122.424
741,MOZZARELLA DI BUFALA PIZZERIA II,37.7401,-122.467
7989,SUN VALLEY PRODUCE,37.7402,-122.397
33641,Roti Indian Bistro,37.7402,-122.466
1702,EL TOREADOR FONDA MEXICANA RESTAURANT,37.7403,-122.466
4539,PEET'S COFFEE & TEA,37.7403,-122.466
7911,T P SEAFOOD & MEAT CO. INC.,37.7403,-122.385
71562,Mccarthy's Irish Bar,37.7404,-122.466
1963,Spiazzo,37.7405,-122.466
10831,Eezy Freezy Health & Gourmet Food,37.7405,-122.466
18824,Fresca Restaurant,37.7405,-122.466
4637,NOAH'S NEW YORK BAGELS #2937,37.7406,-122.466
6421,CLAREMONT SERVICES,37.7406,-122.465
1950,BULLSHEAD RESTAURANT,37.7408,-122.466
4021,Philosphers Club,37.7408,-122.465
6680,"Spicy Bite Food, Inc",37.7409,-122.423
70434,Burrito Loco,37.7409,-122.466
8004,WILCOX FROZEN FOODS,37.741,-122.402
59935,Zantes Pizza,37.7412,-122.423
4449,Universal Bakery Inc.,37.7413,-122.423
180,NENAS RESTAURANT,37.7415,-122.422
37658,Jack In The Box #556,37.7416,-122.406
3986,TIKAL,37.7417,-122.422
6567,St. Clair's Liquors,37.7417,-122.388
61598,Brothers Pizza,37.7417,-122.505
198,SUBWAY,37.7418,-122.388
34591,La Laguna,37.7418,-122.388
67448,Soo Fong Restaurant,37.7418,-122.388
5267,Knights Catering,37.7419,-122.384
6805,AMITY MARKET,37.7419,-122.502
985,The Sunset's Best Seafood Restaurant,37.742,-122.499
4846,NORTH BEACH PIZZA,37.742,-122.499
9183,GOLD CORNER CAFE,37.742,-122.404
34184,Win's Restaurant,37.742,-122.499
68311,Walgreens #4570,37.742,-122.498
69127,Giant Burrito,37.742,-122.405
984,VANIDA THAI KITCHEN,37.7421,-122.499
38485,Sweet Passion Bakery,37.7421,-122.499
65549,La Ciccia,37.7421,-122.427
66297,Melody Lounge,37.7421,-122.422
56,CAFE X + O,37.7423,-122.426
1151,POMELO ON CHURCH,37.7423,-122.426
3420,MCDONALD'S #7413,37.7423,-122.406
4371,CLUB MALIBUE,37.7423,-122.422
3167,MING'S DINER,37.7424,-122.489
3185,PIRRO'S PIZZERIA,37.7424,-122.49
4544,GENE'S LIQUOR,37.7424,-122.49
4665,7-ELEVEN #20473,37.7424,-122.49
17411,Oye Managua,37.7424,-122.422
37580,Greenleaf/Greenleaf Produce,37.7424,-122.396
1668,SILVER CREST DONUT SHOP,37.7425,-122.406
1952,Han Bat Korean Restaurant,37.7425,-122.488
6278,BAY SHORE SHELL,37.7425,-122.406
69950,Over-the-Bay Cakes,37.7425,-122.489
1921,TARAVAL OKAZU YA,37.7426,-122.485
7818,STANLEY PRODUCE CO. INC.,37.7426,-122.397
60737,Parkside Tavern,37.7426,-122.487
68342,Sam Troung's 76,37.7426,-122.486
588,BURRITO EXPRESS,37.7427,-122.483
2829,EAGLE PIZZA,37.7427,-122.485
4671,MARCO POLO ITALIAN ICE CREAM,37.7427,-122.482
4986,SENIORE'S PIZZA,37.7427,-122.476
18574,Top Lines Produce,37.7427,-122.4
60518,Ninki Sushi Bar & Restaurant,37.7427,-122.482
62748,G Cube Cafe,37.7427,-122.484
63108,San Francisco 76,37.7427,-122.388
67567,Rolling-Out,37.7427,-122.485
4221,DRAGON LOUNGE,37.7428,-122.481
6750,LIQUOR LOCKER,37.7428,-122.479
64549,Eight Immortals,37.7428,-122.482
